"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs"
"1_1_85_dbpedia_forbes","dbpedia","forbes","1","0.85","1","0.9878787878787879","0.806930693069307","0.888283378746594","0.9642857142857143","0.7714285714285715","0.8571428571428572","742","0:00:27.067","0.9003801405249019","-1"
"1_1_85_dbpedia_dw","dbpedia","dw","1","0.85","1","0.9433198380566802","0.8442028985507246","0.8910133843212237","0.9222222222222223","0.8217821782178217","0.869109947643979","691","0:00:23.875","0.9026201913678665","-1"
"1_1_85_dw_forbes","dw","forbes","1","0.85","1","0.9836065573770492","0.8275862068965517","0.8988764044943819","1.0","0.8148148148148148","0.8979591836734693","1467","0:00:09.517","0.9023963097713098","-1"
"2_1_85_dbpedia_forbes","dbpedia","forbes","2","0.85","1","1.0","0.5396039603960396","0.7009646302250804","1.0","0.5142857142857142","0.6792452830188679","530","0:00:24.356","0.9003801405249019","-1"
"2_1_85_dbpedia_dw","dbpedia","dw","2","0.85","1","1.0","0.7336956521739131","0.8463949843260188","1.0","0.7128712871287128","0.8323699421965318","477","0:00:22.585","0.9026201913678665","-1"
"2_1_85_dw_forbes","dw","forbes","2","0.85","1","1.0","0.7724137931034483","0.8715953307392996","1.0","0.7777777777777778","0.8750000000000001","1405","0:00:08.984","0.9023963097713098","-1"
"3_1_85_dbpedia_forbes","dbpedia","forbes","3","0.85","1","0.9644970414201184","0.806930693069307","0.8787061994609165","0.9642857142857143","0.7714285714285715","0.8571428571428572","752","0:00:19.257","0.9003801405249019","-1"
"3_1_85_dbpedia_dw","dbpedia","dw","3","0.85","1","0.9343936381709742","0.8514492753623188","0.8909952606635071","0.9230769230769231","0.8316831683168316","0.8749999999999999","706","0:00:16.941","0.9026201913678665","-1"
"3_1_85_dw_forbes","dw","forbes","3","0.85","1","0.9144736842105263","0.9586206896551724","0.936026936026936","0.9629629629629629","0.9629629629629629","0.9629629629629629","1506","0:00:06.974","0.9023963097713098","-1"
"4_1_85_dbpedia_forbes","dbpedia","forbes","4","0.85","1","0.9644970414201184","0.806930693069307","0.8787061994609165","0.9642857142857143","0.7714285714285715","0.8571428571428572","752","0:00:19.007","0.9003801405249019","-1"
"4_1_85_dbpedia_dw","dbpedia","dw","4","0.85","1","0.9343936381709742","0.8514492753623188","0.8909952606635071","0.9230769230769231","0.8316831683168316","0.8749999999999999","706","0:00:17.108","0.9026201913678665","-1"
"4_1_85_dw_forbes","dw","forbes","4","0.85","1","0.9144736842105263","0.9586206896551724","0.936026936026936","0.9629629629629629","0.9629629629629629","0.9629629629629629","1506","0:00:07.035","0.9023963097713098","-1"
"5_1_85_dbpedia_forbes","dbpedia","forbes","5","0.85","1","0.9878787878787879","0.806930693069307","0.888283378746594","0.9642857142857143","0.7714285714285715","0.8571428571428572","743","0:00:44.113","0.9003801405249019","-1"
"5_1_85_dbpedia_dw","dbpedia","dw","5","0.85","1","0.9433198380566802","0.8442028985507246","0.8910133843212237","0.9222222222222223","0.8217821782178217","0.869109947643979","691","0:00:39.454","0.9026201913678665","-1"
"5_1_85_dw_forbes","dw","forbes","5","0.85","1","0.9761904761904762","0.8482758620689655","0.9077490774907749","1.0","0.8148148148148148","0.8979591836734693","1471","0:00:15.391","0.9023963097713098","-1"
"6_1_85_dbpedia_forbes","dbpedia","forbes","6","0.85","1","1.0","0.5445544554455446","0.7051282051282052","1.0","0.5714285714285714","0.7272727272727273","556","0:00:46.021","0.9003801405249019","-1"
"6_1_85_dbpedia_dw","dbpedia","dw","6","0.85","1","1.0","0.7554347826086957","0.8606811145510835","1.0","0.7326732673267327","0.8457142857142858","499","0:00:42.137","0.9026201913678665","-1"
"6_1_85_dw_forbes","dw","forbes","6","0.85","1","1.0","0.7586206896551724","0.8627450980392156","1.0","0.7777777777777778","0.8750000000000001","1401","0:00:17.268","0.9023963097713098","-1"
"7_1_85_dbpedia_forbes","dbpedia","forbes","7","0.85","1","0.9723756906077348","0.8712871287128713","0.9190600522193211","1.0","0.9714285714285714","0.9855072463768115","751","0:02:40.468","0.9003801405249019","-1"
"7_1_85_dbpedia_dw","dbpedia","dw","7","0.85","1","0.988","0.894927536231884","0.9391634980988594","0.989010989010989","0.8910891089108911","0.9375","602","0:02:26.851","0.9026201913678665","-1"
"7_1_85_dw_forbes","dw","forbes","7","0.85","1","0.9848484848484849","0.896551724137931","0.9386281588447654","1.0","0.8888888888888888","0.9411764705882353","1468","0:00:58.910","0.9023963097713098","-1"
"1_2_85_dbpedia_forbes","dbpedia","forbes","1","0.85","2","0.9878787878787879","0.806930693069307","0.888283378746594","0.9642857142857143","0.7714285714285715","0.8571428571428572","742","0:00:15.006","0.936183715643728","-1"
"1_2_85_dbpedia_dw","dbpedia","dw","1","0.85","2","0.9433198380566802","0.8442028985507246","0.8910133843212237","0.9222222222222223","0.8217821782178217","0.869109947643979","691","0:00:13.790","0.9367308197128408","-1"
"1_2_85_dw_forbes","dw","forbes","1","0.85","2","0.9836065573770492","0.8275862068965517","0.8988764044943819","1.0","0.8148148148148148","0.8979591836734693","1467","0:00:06.224","0.9348640852390853","-1"
"2_2_85_dbpedia_forbes","dbpedia","forbes","2","0.85","2","1.0","0.5396039603960396","0.7009646302250804","1.0","0.5142857142857142","0.6792452830188679","530","0:00:15.487","0.936183715643728","-1"
"2_2_85_dbpedia_dw","dbpedia","dw","2","0.85","2","1.0","0.7336956521739131","0.8463949843260188","1.0","0.7128712871287128","0.8323699421965318","477","0:00:13.663","0.9367308197128408","-1"
"2_2_85_dw_forbes","dw","forbes","2","0.85","2","1.0","0.7724137931034483","0.8715953307392996","1.0","0.7777777777777778","0.8750000000000001","1405","0:00:05.853","0.9348640852390853","-1"
"3_2_85_dbpedia_forbes","dbpedia","forbes","3","0.85","2","0.9644970414201184","0.806930693069307","0.8787061994609165","0.9642857142857143","0.7714285714285715","0.8571428571428572","752","0:00:11.858","0.936183715643728","-1"
"3_2_85_dbpedia_dw","dbpedia","dw","3","0.85","2","0.9343936381709742","0.8514492753623188","0.8909952606635071","0.9230769230769231","0.8316831683168316","0.8749999999999999","706","0:00:10.346","0.9367308197128408","-1"
"3_2_85_dw_forbes","dw","forbes","3","0.85","2","0.9144736842105263","0.9586206896551724","0.936026936026936","0.9629629629629629","0.9629629629629629","0.9629629629629629","1506","0:00:04.263","0.9348640852390853","-1"
"4_2_85_dbpedia_forbes","dbpedia","forbes","4","0.85","2","0.9644970414201184","0.806930693069307","0.8787061994609165","0.9642857142857143","0.7714285714285715","0.8571428571428572","752","0:00:11.430","0.936183715643728","-1"
"4_2_85_dbpedia_dw","dbpedia","dw","4","0.85","2","0.9343936381709742","0.8514492753623188","0.8909952606635071","0.9230769230769231","0.8316831683168316","0.8749999999999999","706","0:00:10.446","0.9367308197128408","-1"
"4_2_85_dw_forbes","dw","forbes","4","0.85","2","0.9144736842105263","0.9586206896551724","0.936026936026936","0.9629629629629629","0.9629629629629629","0.9629629629629629","1506","0:00:04.281","0.9348640852390853","-1"
"5_2_85_dbpedia_forbes","dbpedia","forbes","5","0.85","2","0.9878787878787879","0.806930693069307","0.888283378746594","0.9642857142857143","0.7714285714285715","0.8571428571428572","743","0:00:27.222","0.936183715643728","-1"
"5_2_85_dbpedia_dw","dbpedia","dw","5","0.85","2","0.9433198380566802","0.8442028985507246","0.8910133843212237","0.9222222222222223","0.8217821782178217","0.869109947643979","691","0:00:25.675","0.9367308197128408","-1"
"5_2_85_dw_forbes","dw","forbes","5","0.85","2","0.9761904761904762","0.8482758620689655","0.9077490774907749","1.0","0.8148148148148148","0.8979591836734693","1471","0:00:10.207","0.9348640852390853","-1"
"6_2_85_dbpedia_forbes","dbpedia","forbes","6","0.85","2","1.0","0.5445544554455446","0.7051282051282052","1.0","0.5714285714285714","0.7272727272727273","556","0:00:28.174","0.936183715643728","-1"
"6_2_85_dbpedia_dw","dbpedia","dw","6","0.85","2","1.0","0.7554347826086957","0.8606811145510835","1.0","0.7326732673267327","0.8457142857142858","499","0:00:26.819","0.9367308197128408","-1"
"6_2_85_dw_forbes","dw","forbes","6","0.85","2","1.0","0.7586206896551724","0.8627450980392156","1.0","0.7777777777777778","0.8750000000000001","1401","0:00:11.559","0.9348640852390853","-1"
"7_2_85_dbpedia_forbes","dbpedia","forbes","7","0.85","2","0.9723756906077348","0.8712871287128713","0.9190600522193211","1.0","0.9714285714285714","0.9855072463768115","751","0:01:35.359","0.936183715643728","-1"
"7_2_85_dbpedia_dw","dbpedia","dw","7","0.85","2","0.9840954274353877","0.8967391304347826","0.9383886255924171","0.9782608695652174","0.8910891089108911","0.9326424870466321","606","0:01:28.775","0.9367308197128408","-1"
"7_2_85_dw_forbes","dw","forbes","7","0.85","2","0.9848484848484849","0.896551724137931","0.9386281588447654","1.0","0.8888888888888888","0.9411764705882353","1468","0:00:40.418","0.9348640852390853","-1"
"1_3_85_dbpedia_forbes","dbpedia","forbes","1","0.85","3","0.9878787878787879","0.806930693069307","0.888283378746594","0.9642857142857143","0.7714285714285715","0.8571428571428572","739","0:00:14.905","0.9438735275883448","-1"
"1_3_85_dbpedia_dw","dbpedia","dw","1","0.85","3","0.9433198380566802","0.8442028985507246","0.8910133843212237","0.9222222222222223","0.8217821782178217","0.869109947643979","691","0:00:14.199","0.9437239829366302","-1"
"1_3_85_dw_forbes","dw","forbes","1","0.85","3","0.9836065573770492","0.8275862068965517","0.8988764044943819","1.0","0.8148148148148148","0.8979591836734693","1467","0:00:06.289","0.9423069126819127","-1"
"2_3_85_dbpedia_forbes","dbpedia","forbes","2","0.85","3","1.0","0.5396039603960396","0.7009646302250804","1.0","0.5142857142857142","0.6792452830188679","530","0:00:14.639","0.9438735275883448","-1"
"2_3_85_dbpedia_dw","dbpedia","dw","2","0.85","3","1.0","0.7336956521739131","0.8463949843260188","1.0","0.7128712871287128","0.8323699421965318","477","0:00:14.024","0.9437239829366302","-1"
"2_3_85_dw_forbes","dw","forbes","2","0.85","3","1.0","0.7724137931034483","0.8715953307392996","1.0","0.7777777777777778","0.8750000000000001","1405","0:00:05.929","0.9423069126819127","-1"
"3_3_85_dbpedia_forbes","dbpedia","forbes","3","0.85","3","0.9644970414201184","0.806930693069307","0.8787061994609165","0.9642857142857143","0.7714285714285715","0.8571428571428572","747","0:00:09.974","0.9438735275883448","-1"
"3_3_85_dbpedia_dw","dbpedia","dw","3","0.85","3","0.9343936381709742","0.8514492753623188","0.8909952606635071","0.9230769230769231","0.8316831683168316","0.8749999999999999","706","0:00:09.802","0.9437239829366302","-1"
"3_3_85_dw_forbes","dw","forbes","3","0.85","3","0.9144736842105263","0.9586206896551724","0.936026936026936","0.9629629629629629","0.9629629629629629","0.9629629629629629","1502","0:00:04.183","0.9423069126819127","-1"
"4_3_85_dbpedia_forbes","dbpedia","forbes","4","0.85","3","0.9644970414201184","0.806930693069307","0.8787061994609165","0.9642857142857143","0.7714285714285715","0.8571428571428572","747","0:00:10.530","0.9438735275883448","-1"
"4_3_85_dbpedia_dw","dbpedia","dw","4","0.85","3","0.9343936381709742","0.8514492753623188","0.8909952606635071","0.9230769230769231","0.8316831683168316","0.8749999999999999","706","0:00:09.654","0.9437239829366302","-1"
"4_3_85_dw_forbes","dw","forbes","4","0.85","3","0.9144736842105263","0.9586206896551724","0.936026936026936","0.9629629629629629","0.9629629629629629","0.9629629629629629","1502","0:00:04.066","0.9423069126819127","-1"
"5_3_85_dbpedia_forbes","dbpedia","forbes","5","0.85","3","0.9878787878787879","0.806930693069307","0.888283378746594","0.9642857142857143","0.7714285714285715","0.8571428571428572","740","0:00:26.215","0.9438735275883448","-1"
"5_3_85_dbpedia_dw","dbpedia","dw","5","0.85","3","0.9433198380566802","0.8442028985507246","0.8910133843212237","0.9222222222222223","0.8217821782178217","0.869109947643979","691","0:00:23.055","0.9437239829366302","-1"
"5_3_85_dw_forbes","dw","forbes","5","0.85","3","0.9761904761904762","0.8482758620689655","0.9077490774907749","1.0","0.8148148148148148","0.8979591836734693","1471","0:00:09.667","0.9423069126819127","-1"
"6_3_85_dbpedia_forbes","dbpedia","forbes","6","0.85","3","1.0","0.5445544554455446","0.7051282051282052","1.0","0.5714285714285714","0.7272727272727273","556","0:00:26.085","0.9438735275883448","-1"
"6_3_85_dbpedia_dw","dbpedia","dw","6","0.85","3","1.0","0.7554347826086957","0.8606811145510835","1.0","0.7326732673267327","0.8457142857142858","499","0:00:25.685","0.9437239829366302","-1"
"6_3_85_dw_forbes","dw","forbes","6","0.85","3","1.0","0.7586206896551724","0.8627450980392156","1.0","0.7777777777777778","0.8750000000000001","1401","0:00:10.401","0.9423069126819127","-1"
"7_3_85_dbpedia_forbes","dbpedia","forbes","7","0.85","3","0.9723756906077348","0.8712871287128713","0.9190600522193211","1.0","0.9714285714285714","0.9855072463768115","747","0:01:29.789","0.9438735275883448","-1"
"7_3_85_dbpedia_dw","dbpedia","dw","7","0.85","3","0.988","0.894927536231884","0.9391634980988594","0.989010989010989","0.8910891089108911","0.9375","594","0:01:23.053","0.9437239829366302","-1"
"7_3_85_dw_forbes","dw","forbes","7","0.85","3","0.9848484848484849","0.896551724137931","0.9386281588447654","1.0","0.8888888888888888","0.9411764705882353","1464","0:00:35.863","0.9423069126819127","-1"
"1_4_85_dbpedia_forbes","dbpedia","forbes","1","0.85","4","0.9878787878787879","0.806930693069307","0.888283378746594","0.9642857142857143","0.7714285714285715","0.8571428571428572","727","0:00:15.292","0.9438792105806985","-1"
"1_4_85_dbpedia_dw","dbpedia","dw","1","0.85","4","0.9433198380566802","0.8442028985507246","0.8910133843212237","0.9222222222222223","0.8217821782178217","0.869109947643979","681","0:00:14.227","0.94377962062401","-1"
"1_4_85_dw_forbes","dw","forbes","1","0.85","4","0.9836065573770492","0.8275862068965517","0.8988764044943819","1.0","0.8148148148148148","0.8979591836734693","1462","0:00:06.038","0.9419495841995842","-1"
"2_4_85_dbpedia_forbes","dbpedia","forbes","2","0.85","4","1.0","0.5396039603960396","0.7009646302250804","1.0","0.5142857142857142","0.6792452830188679","530","0:00:14.520","0.9438792105806985","-1"
"2_4_85_dbpedia_dw","dbpedia","dw","2","0.85","4","1.0","0.7336956521739131","0.8463949843260188","1.0","0.7128712871287128","0.8323699421965318","477","0:00:13.739","0.94377962062401","-1"
"2_4_85_dw_forbes","dw","forbes","2","0.85","4","1.0","0.7724137931034483","0.8715953307392996","1.0","0.7777777777777778","0.8750000000000001","1405","0:00:05.789","0.9419495841995842","-1"
"3_4_85_dbpedia_forbes","dbpedia","forbes","3","0.85","4","0.9644970414201184","0.806930693069307","0.8787061994609165","0.9642857142857143","0.7714285714285715","0.8571428571428572","735","0:00:10.219","0.9438792105806985","-1"
"3_4_85_dbpedia_dw","dbpedia","dw","3","0.85","4","0.9343936381709742","0.8514492753623188","0.8909952606635071","0.9230769230769231","0.8316831683168316","0.8749999999999999","696","0:00:09.115","0.94377962062401","-1"
"3_4_85_dw_forbes","dw","forbes","3","0.85","4","0.9144736842105263","0.9586206896551724","0.936026936026936","0.9629629629629629","0.9629629629629629","0.9629629629629629","1497","0:00:03.989","0.9419495841995842","-1"
"4_4_85_dbpedia_forbes","dbpedia","forbes","4","0.85","4","0.9644970414201184","0.806930693069307","0.8787061994609165","0.9642857142857143","0.7714285714285715","0.8571428571428572","735","0:00:09.828","0.9438792105806985","-1"
"4_4_85_dbpedia_dw","dbpedia","dw","4","0.85","4","0.9343936381709742","0.8514492753623188","0.8909952606635071","0.9230769230769231","0.8316831683168316","0.8749999999999999","696","0:00:09.141","0.94377962062401","-1"
"4_4_85_dw_forbes","dw","forbes","4","0.85","4","0.9144736842105263","0.9586206896551724","0.936026936026936","0.9629629629629629","0.9629629629629629","0.9629629629629629","1497","0:00:03.868","0.9419495841995842","-1"
"5_4_85_dbpedia_forbes","dbpedia","forbes","5","0.85","4","0.9878787878787879","0.806930693069307","0.888283378746594","0.9642857142857143","0.7714285714285715","0.8571428571428572","728","0:00:24.270","0.9438792105806985","-1"
"5_4_85_dbpedia_dw","dbpedia","dw","5","0.85","4","0.9433198380566802","0.8442028985507246","0.8910133843212237","0.9222222222222223","0.8217821782178217","0.869109947643979","681","0:00:22.338","0.94377962062401","-1"
"5_4_85_dw_forbes","dw","forbes","5","0.85","4","0.9761904761904762","0.8482758620689655","0.9077490774907749","1.0","0.8148148148148148","0.8979591836734693","1466","0:00:09.553","0.9419495841995842","-1"
"6_4_85_dbpedia_forbes","dbpedia","forbes","6","0.85","4","1.0","0.5445544554455446","0.7051282051282052","1.0","0.5714285714285714","0.7272727272727273","552","0:00:26.462","0.9438792105806985","-1"
"6_4_85_dbpedia_dw","dbpedia","dw","6","0.85","4","1.0","0.7554347826086957","0.8606811145510835","1.0","0.7326732673267327","0.8457142857142858","496","0:00:24.738","0.94377962062401","-1"
"6_4_85_dw_forbes","dw","forbes","6","0.85","4","1.0","0.7586206896551724","0.8627450980392156","1.0","0.7777777777777778","0.8750000000000001","1401","0:00:10.635","0.9419495841995842","-1"
"7_4_85_dbpedia_forbes","dbpedia","forbes","7","0.85","4","0.9723756906077348","0.8712871287128713","0.9190600522193211","1.0","0.9714285714285714","0.9855072463768115","743","0:01:28.776","0.9438792105806985","-1"
"7_4_85_dbpedia_dw","dbpedia","dw","7","0.85","4","0.988","0.894927536231884","0.9391634980988594","0.989010989010989","0.8910891089108911","0.9375","591","0:01:23.587","0.94377962062401","-1"
"7_4_85_dw_forbes","dw","forbes","7","0.85","4","0.9848484848484849","0.896551724137931","0.9386281588447654","1.0","0.8888888888888888","0.9411764705882353","1464","0:00:33.879","0.9419495841995842","-1"
"1_5_85_dbpedia_forbes","dbpedia","forbes","1","0.85","5","0.9893955461293743","4.618811881188119","1.6296943231441046","0.9575757575757575","4.514285714285714","1.58","4662","0:00:24.454","0.9034561892953089","-1"
"1_5_85_dbpedia_dw","dbpedia","dw","1","0.85","5","0.9560931899641577","5.798913043478261","1.6415384615384616","0.9318181818181818","5.2772277227722775","1.5839524517087669","4257","0:00:23.231","0.8996326194094328","-1"
"1_5_85_dw_forbes","dw","forbes","1","0.85","5","0.9871345029239766","5.820689655172414","1.6880000000000002","1.0","5.2592592592592595","1.680473372781065","10472","0:00:09.076","0.9129638773388773","-1"
"2_5_85_dbpedia_forbes","dbpedia","forbes","2","0.85","5","1.0","3.51980198019802","1.55750273822563","1.0","2.914285714285714","1.489051094890511","3631","0:00:22.341","0.9034561892953089","-1"
"2_5_85_dbpedia_dw","dbpedia","dw","2","0.85","5","1.0","4.978260869565218","1.6654545454545455","1.0","4.544554455445544","1.6392857142857142","3207","0:00:21.420","0.8996326194094328","-1"
"2_5_85_dw_forbes","dw","forbes","2","0.85","5","1.0","5.537931034482758","1.6940928270042195","1.0","5.037037037037037","1.6687116564417177","10157","0:00:08.171","0.9129638773388773","-1"
"3_5_85_dbpedia_forbes","dbpedia","forbes","3","0.85","5","0.9658385093167702","4.618811881188119","1.5976027397260275","0.9575757575757575","4.514285714285714","1.58","4718","0:00:23.166","0.9034561892953089","-1"
"3_5_85_dbpedia_dw","dbpedia","dw","3","0.85","5","0.9480481361901967","5.851449275362318","1.6317251831270523","0.9324090121317158","5.326732673267327","1.5870206489675518","4336","0:00:21.653","0.8996326194094328","-1"
"3_5_85_dw_forbes","dw","forbes","3","0.85","5","0.9312557286892759","7.006896551724138","1.6440129449838186","0.994475138121547","6.666666666666667","1.7307692307692308","10801","0:00:07.936","0.9129638773388773","-1"
"4_5_85_dbpedia_forbes","dbpedia","forbes","4","0.85","5","0.9658385093167702","4.618811881188119","1.5976027397260275","0.9575757575757575","4.514285714285714","1.58","4718","0:00:22.414","0.9034561892953089","-1"
"4_5_85_dbpedia_dw","dbpedia","dw","4","0.85","5","0.9480481361901967","5.851449275362318","1.6317251831270523","0.9324090121317158","5.326732673267327","1.5870206489675518","4336","0:00:21.811","0.8996326194094328","-1"
"4_5_85_dw_forbes","dw","forbes","4","0.85","5","0.9312557286892759","7.006896551724138","1.6440129449838186","0.994475138121547","6.666666666666667","1.7307692307692308","10801","0:00:07.976","0.9129638773388773","-1"
"5_5_85_dbpedia_forbes","dbpedia","forbes","5","0.85","5","0.9893955461293743","4.618811881188119","1.6296943231441046","0.9575757575757575","4.514285714285714","1.58","4670","0:00:47.472","0.9034561892953089","-1"
